Latitude,Longitude,mean_correlation_with_existing_farms,min_distance_to_line_km,avg_capacity_factor,avg_solar_radiation,min_distance_nature_land_km,score_km,score_wind_correlation,score_wind_capacity,score_solar_radiation,score_distance_nature_land,pareto_tier,state,suitability_index,is_suitable,is_suitable_model
-13.0,130.75,-0.0331654962313006,21.8,0.076495565,480.93124,3.0,82,71,2,50,5,5,Northern Territory,50.553521579824015,0,0
-13.0,131.0,-0.0304945204983509,6.4,0.078721344,483.12427,9.4,93,73,2,48,14,6,Northern Territory,56.30915144252333,0,0
-13.0,131.25,-0.0267780526376251,16.2,0.077053554,488.7274,12.4,85,77,2,43,17,3,Northern Territory,54.323518932294604,0,0
-13.0,131.5,-0.0228874507193852,18.9,0.08097267,493.66818,16.5,83,81,2,37,22,1,Northern Territory,54.652488227441765,0,0
-13.0,131.75,-0.0175254404788748,15.3,0.08766887,496.41907,0.0,86,86,2,34,1,1,Northern Territory,53.86099762782993,0,0
-13.0,132.0,-0.0130025088415658,40.2,0.091415875,496.70917,8.2,74,90,3,33,12,2,Northern Territory,51.67501937967837,0,0
-13.0,132.25,-0.0081299808960119,67.2,0.08441171,497.6318,0.0,65,94,2,32,1,2,Northern Territory,46.944357162745966,0,0
-13.0,132.5,-0.0118576522403773,94.5,0.086393945,497.50797,0.0,59,91,2,32,1,1,Northern Territory,44.010549786627124,0,0
-13.0,132.75,-0.0195834059756071,122.0,0.099927485,497.97794,0.0,52,84,3,31,1,1,Northern Territory,39.92717581574179,0,0
-13.0,133.0,-0.020733902356421,149.5,0.13887061,494.9182,0.1,47,82,8,36,1,1,Northern Territory,38.70683438307827,0,0
-13.0,133.25,-0.0160434242249244,168.2,0.17349805,493.52112,27.7,43,87,14,38,33,2,Northern Territory,44.38161759579978,0,0
-13.0,133.5,-0.0097811382369227,175.4,0.18300755,491.48358,55.2,42,92,15,40,53,4,Northern Territory,48.481936258929586,0,0
-13.0,133.75,-0.0056694368876162,183.9,0.17496748,488.2821,82.8,40,96,14,43,67,6,Northern Territory,49.96800738637206,0,0
-13.0,134.0,-0.0026718233290704,196.0,0.15065771,485.58328,110.3,38,98,10,46,78,5,Northern Territory,50.6308514942645,0,0
-13.0,134.25,-0.0035049662819974,210.9,0.13818058,482.528,137.9,36,97,8,48,86,5,Northern Territory,50.88945981712192,0,0
-13.0,134.5,-0.0040909138835212,228.1,0.12556149,478.40125,165.4,33,97,6,52,90,5,Northern Territory,50.251516498667705,0,0
-13.0,134.75,-0.0010966733718911,247.2,0.112350054,473.86426,193.0,31,100,4,56,93,4,Northern Territory,50.07479721625717,0,0
-13.0,135.0,0.0050643571974,267.7,0.10960536,469.6843,220.5,28,96,4,59,97,5,Northern Territory,48.760156547377214,0,0
-13.0,135.25,-0.0007917065439479,289.4,0.12360398,463.21207,248.1,25,100,5,64,98,6,Northern Territory,48.84002384083182,0,0
-13.0,135.5,-0.0144643721738941,312.0,0.1160995,458.0771,275.6,22,89,5,68,99,4,Northern Territory,45.822859691806734,0,0
-13.0,135.75,-0.0255014007791898,335.2,0.10498745,455.36316,300.2,19,78,4,70,100,2,Northern Territory,43.01024850779381,0,0
-13.0,136.0,-0.028908536834864,359.1,0.100237146,453.2368,290.2,17,75,3,72,100,0,Northern Territory,41.2435870632052,0,0
-13.0,136.25,-0.0329434684408451,383.4,0.11870205,455.38864,282.5,15,71,5,70,100,0,Northern Territory,39.47652884164689,0,0
-13.0,136.5,-0.0413920790566841,408.2,0.17522475,460.69434,277.2,13,62,14,66,99,1,Northern Territory,38.97252599188163,0,0
-13.0,141.75,0.0567672986670264,462.1,0.1828286,468.5207,54.9,9,43,15,60,52,0,Queensland,25.786540735659408,0,0
-13.0,142.0,0.0500555376389196,442.1,0.15483756,452.06552,39.8,10,51,11,73,42,1,Queensland,25.81526186833978,0,0
-13.0,142.25,0.0499462704307266,422.8,0.14964157,448.30762,30.7,12,51,10,75,35,0,Queensland,25.549668166927386,0,0
-13.0,142.5,0.0432658853064779,403.9,0.15654707,447.65344,25.2,13,59,11,76,30,1,Queensland,27.434460739068548,0,0
-13.0,142.75,0.0387044183200313,384.4,0.1783539,445.97153,37.9,15,65,15,77,41,2,Queensland,31.89586963771282,0,0
-13.0,143.0,0.0389162134024358,365.6,0.18863893,439.64694,29.5,16,65,16,80,35,3,Queensland,31.793506923989774,0,0
-13.0,143.25,0.0367917633726305,347.9,0.24190366,435.1837,13.9,18,67,25,82,19,2,Queensland,32.543000607368434,0,0
-13.25,130.25,-0.0222473161649845,51.7,0.11676333,483.21957,45.9,70,81,5,48,47,5,Northern Territory,54.958445104722486,0,0
-13.25,130.5,-0.029209819299701,47.8,0.084140286,483.05426,19.9,71,75,2,48,25,5,Northern Territory,50.043890007334255,0,0
-13.25,130.75,-0.0302385532995685,37.7,0.08731482,480.55258,0.0,74,74,2,50,1,5,Northern Territory,47.40195196808064,0,0
-13.25,131.0,-0.0331221305521293,11.2,0.08707664,483.4584,0.0,89,71,2,48,1,5,Northern Territory,52.95040319800653,0,0
-13.25,131.25,-0.0330721005963693,8.4,0.087014385,488.31635,16.7,91,71,2,43,22,2,Northern Territory,56.738161675211614,0,0
-13.25,131.5,-0.0341030452733061,26.6,0.09240691,492.5693,20.0,79,70,3,39,25,3,Northern Territory,51.66283159638953,0,0
-13.25,131.75,-0.0309291583264157,39.1,0.100853115,495.03506,0.2,74,73,3,36,1,1,Northern Territory,46.457737485039026,0,0
-13.25,132.0,-0.0248514515037337,54.0,0.098568514,496.7919,0.0,69,79,3,33,1,1,Northern Territory,45.586706416847875,0,0
-13.25,132.25,-0.0204259494807393,72.2,0.096275434,497.4484,0.0,64,83,3,32,1,1,Northern Territory,44.637800607943,0,0
-13.25,132.5,-0.0216687297652935,91.1,0.104706466,499.36282,0.0,59,82,4,30,1,1,Northern Territory,42.401809025651694,0,0
-13.25,132.75,-0.022168564991582,113.5,0.12404033,500.20374,0.0,54,81,6,29,1,1,Northern Territory,40.39959806474939,0,0
-13.25,133.0,-0.0181502318231477,137.3,0.17417328,498.74,0.1,49,85,14,30,1,1,Northern Territory,41.107052925052756,0,0
-13.25,133.25,-0.0123522036487147,141.7,0.19090463,496.21744,27.6,48,91,16,34,33,3,Northern Territory,47.3835377690651,0,0
-13.25,133.5,-0.0056442755385346,149.1,0.18876965,493.8128,55.1,47,96,16,37,52,4,Northern Territory,50.90179614802146,0,0
-13.25,133.75,0.0041446143667036,159.0,0.15547755,491.82635,82.6,45,97,11,40,67,4,Northern Territory,51.75923977743841,0,0
-13.25,134.0,0.0097693366480858,172.8,0.13440655,488.9823,110.1,42,92,7,43,78,5,Northern Territory,50.36636357505626,0,0
-13.25,134.25,0.0107587964030071,189.5,0.12203394,487.16757,137.6,40,92,5,44,86,5,Northern Territory,50.602946732715544,0,0
-13.25,134.5,0.0141649364477156,208.5,0.11404786,482.74954,165.1,36,89,4,48,90,5,Northern Territory,49.092772775823846,0,0
-13.25,134.75,0.0057336592123777,229.2,0.11779826,478.03357,192.6,33,96,5,52,93,5,Northern Territory,49.899827040238115,0,0
-13.25,135.0,0.0076326390262693,251.1,0.11976543,473.1998,220.1,30,94,5,56,97,5,Northern Territory,49.351712319602846,0,0
-13.25,135.25,-0.0028493559732894,274.1,0.12722343,466.60263,247.6,27,98,6,62,98,5,Northern Territory,49.214182040512824,0,0
-13.25,135.5,-0.0217922924990749,297.8,0.10491598,461.7329,275.1,24,82,4,65,99,4,Northern Territory,44.86126909273276,0,0
-13.25,135.75,-0.0317875938379161,322.0,0.102985755,459.30917,275.5,21,72,3,67,99,3,Northern Territory,41.34138654538895,0,0
-13.25,136.0,-0.0436220430842478,346.7,0.1624606,462.27087,264.6,18,59,12,65,99,2,,39.51629438801144,0,0
-13.25,141.75,0.0551354458732974,444.1,0.15867291,471.22388,40.0,10,45,11,58,42,0,Queensland,24.171153857587456,0,0
-13.25,142.0,0.0461357887878659,423.4,0.14550763,455.99692,16.2,12,56,9,70,22,0,Queensland,24.581305499929446,0,0
-13.25,142.25,0.0493241388084633,403.4,0.15474643,452.49222,6.0,13,52,11,72,10,0,Queensland,22.89775813583075,0,0
-13.25,142.5,0.0447330694823038,384.1,0.15947823,451.91394,0.0,15,58,12,73,1,1,Queensland,23.339722304835878,0,0
-13.25,142.75,0.0444430056197147,365.3,0.17862888,447.779,20.0,16,58,15,76,25,2,Queensland,28.559690398654446,0,0
-13.25,143.0,0.0442637389326202,345.7,0.18710011,440.82306,21.4,18,58,16,80,26,3,Queensland,29.851084775615437,0,0
-13.25,143.25,0.0386608144473506,327.0,0.1871583,430.70346,33.9,20,65,16,84,38,4,Queensland,34.06986575631973,0,0
-13.25,143.5,0.0301447469829803,309.5,0.26605687,430.05835,41.6,22,74,30,84,43,5,Queensland,39.81239267435015,0,0
